SUBJECT,COURSE,SECTION,courseTitle,BOOKTITLE,ISBN,PUBLISHER,REQUIRED,PRICES,MinPrice,enrollment,MinVal
NURS,4115,90300,CARING FOR CHILDREN AND ADOLES,Pediatrics Digital Clinical Experiences - Access Card,9780323753913,Elsevier Hlth Science,Required,"New $174.75,",174.75,105.0,18348.75
CHEM,1152,87068,SURVEY OF CHEMISTRY II,"6th Edition: Modified Mastering Chemistry with Pearson eText -- Access Card -- General, Organic, and Biological Chemistry: Structures of Life (18-Weeks)",9780136909118,Pearson,Required,"Digital $113.50,",113.5,143.0,16230.5
LAW,5010,90795,CONTRACT LAW,K: A Common Law Approach to Contracts Connected eBook with Study Center,9781543835588,Aspen Publishing,Required,"Digital $264.00,",264.0,61.0,16104.0
ECON,2100,87370,GLOBAL ECONOMICS,Intro to the Global Economy (Access code Pak),9781792462061,Kendall Hunt Publishing Company,Required,"New $123.00,",123.0,130.0,15990.0
LAW,5001,90567,CIV PRO:THE FEDERAL RULES,"Civil Procedure, Eleventh Edition Connected eBook with Study Center",9798886141993,Aspen Publishing,Required,"Digital $264.00,",264.0,60.0,15840.0
LAW,6000,80564,CONSTITUTIONAL LAW I,Processes of Constitutional Decisionmaking,9781543838558,Aspen Publishing,Required,"New $352.00,",352.0,45.0,15840.0
ECON,2100,82070,GLOBAL ECONOMICS,Intro to the Global Economy (Access code Pak),9781792462061,Kendall Hunt Publishing Company,Required,"New $123.00,",123.0,127.0,15621.0
ECON,2100,88895,GLOBAL ECONOMICS,Intro to the Global Economy (Access code Pak),9781792462061,Kendall Hunt Publishing Company,Required,"New $123.00,",123.0,127.0,15621.0
ECON,2100,87369,GLOBAL ECONOMICS,Intro to the Global Economy (Access code Pak),9781792462061,Kendall Hunt Publishing Company,Required,"New $123.00,",123.0,121.0,14883.0
BIOL,3880,89206,MICROBIOLOGY,"Microbiology w/Ebook, Smartwork, Animations, & eAppendicies",9781324033523,W. W.Norton Co. Inc,Required,"New $228.00,",228.0,65.0,14820.0
POLS,1101,87422,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,197.0,14775.0
LAW,5010,90571,CONTRACT LAW,Contracts: Making & Doing Deals,9781636590615,West Academic,Required,"New $296.00,",296.0,48.0,14208.0
POLS,1101,86672,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,187.0,14025.0
POLS,1101,86677,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,183.0,13725.0
NURS,3162,88975,MEDICAL SURGICAL I,Fund of Nursing (CoursePoint Access Card),9781975204266,Wolters Kluwer Health / Lippincott Williams & Wilkins,Required,"New $206.65,",206.65,66.0,13638.9
GEOG,1113,87173,INTRODUCTION TO LANDFORMS,Modified Mastering Geography with Pearson eText -- Standalone Access Card -- for Geosystems: An Introduction to Physical Geography,9780134642536,Pearson,Required,"Digital $126.75,",126.75,105.0,13308.75
NURS,3065,90274,PATHOPHYSIOLOGY,Porth's Essen of Pathophysiology (Lippincott CoursePoint Enh Access code),9781975128920,Wolters Kluwer Health / Lippincott Williams & Wilkins,Required,"New $169.32,",169.32,78.0,13206.96
NUTR,3100,82860,NUTRITION AND HEALTH,Nutrition & You (RRPHE),9780137652860,PH - (Rental Rev Share) IST from 1594 ONLY,Required,"Used $79.99, New $79.99, Digital $43.96, Digital $116.25,",43.96,297.0,13056.12
LAW,6010,80565,EVIDENCE,Evidence,9781640201606,Foundation Press,Required,"Used $207.20, New $266.40, Used $222.00, New $296.00,",207.2,62.0,12846.4
LAW,5060,89248,TORTS,"Torts, Cases & Materials",9798887865522,West Academic,Required,"New $207.20, New $296.00,",207.2,62.0,12846.4
NURS,3162,89575,MEDICAL SURGICAL I,Fund of Nursing (CoursePoint Access Card),9781975204266,Wolters Kluwer Health / Lippincott Williams & Wilkins,Required,"New $206.65,",206.65,62.0,12812.300000000001
ECON,4810,82071,INTERNATIONAL FINANCE,International Macroeconomics,9781319218423,"Worth Publishers, Incorporated",Required,"Used $251.25, New $334.75,",251.25,50.0,12562.5
ART,1301,87551,"ART, SOCIETY, AND CULTURE","Gateways to Art (w/InQuizitive Access Card, Videos, Student Site, & Museum Journal)",9780500845066,"W. W. Norton & Company, Incorporated",Required,"Used $131.25, New $174.75,",131.25,95.0,12468.75
LAW,5001,90568,CIV PRO:THE FEDERAL RULES,"Civil Procedure, Eleventh Edition Connected eBook with Study Center",9798886141993,Aspen Publishing,Required,"Digital $264.00,",264.0,47.0,12408.0
ECON,2100,80001,GLOBAL ECONOMICS,Intro to the Global Economy (Access code Pak),9781792462061,Kendall Hunt Publishing Company,Required,"New $123.00,",123.0,100.0,12300.0
LAW,7165,83250,CRIMINAL PROC: INVESTIGATIONS,Comprehensive Criminal Procedure,9781543804362,Aspen Publishing,Required,"Used $258.75, New $345.00,",258.75,46.0,11902.5
MATH,1113,82977,PRECALCULUS,MyLab Math with Pearson eText -- Access Card -- for College Algebra and Trigonometry (18-Weeks),9780135923221,Pearson,Required,"Digital $120.00,",120.0,99.0,11880.0
MATH,1111,80220,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,98.0,11760.0
SCOM,2050,83552,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,117.0,11700.0
LAW,7510,82940,WILLS/TRUSTS/ESTATES I,"Wills, Trusts, & Estates (w/Connected ebook Study Center)",9781543824469,Aspen Publishing,Required,"Used $138.00, New $276.00, Used $258.75, New $345.00,",138.0,84.0,11592.0
ACCT,2101,84196,PRIN OF ACCT I,Top Hat Classroom-One Semester,9780986615108,Top Hat Monocle,Required,"Digital $35.25,",35.25,328.0,11562.0
ACCT,2101,87486,PRIN OF ACCT I,GEORGIA STATE UNIVERSITY ACCT 2101,9781266245626,McGraw-Hill Higher Education,Required,"Digital $96.00,",96.0,120.0,11520.0
BIOL,3880,87793,MICROBIOLOGY,"Microbiology w/Ebook, Smartwork, Animations, & eAppendicies",9781324033523,W. W.Norton Co. Inc,Required,"Digital $107.66, New $228.00,",107.66,106.0,11411.96
ACCT,2102,81510,PRIN OF ACCT II,Top Hat Classroom-One Semester,9780986615108,Top Hat Monocle,Required,"Digital $35.25,",35.25,322.0,11350.5
ART,1301,87548,"ART, SOCIETY, AND CULTURE","Gateways to Art (w/InQuizitive Access Card, Videos, Student Site, & Museum Journal)",9780500845066,"W. W. Norton & Company, Incorporated",Required,"Used $131.25, New $174.75,",131.25,86.0,11287.5
CNHP,3010,82452,ADVANCED MEDICAL TERMINOLOGY,CNHP 3010 Advance Medical Terminology (Access Card),,Caduceus International Publishing INC.,Required,"New $131.00,",131.0,86.0,11266.0
ACCT,2101,86090,PRIN OF ACCT I,Top Hat Classroom-One Semester,9780986615108,Top Hat Monocle,Required,"Digital $35.25,",35.25,308.0,10857.0
MBA,8000,90934,MANAGING-GLOBAL ECONOMY,Managerial Economics,9780393912777,"W. W. Norton & Company, Incorporated",Required,"New $180.60, New $225.75,",180.6,60.0,10836.0
GEOG,1112,87164,INTRO TO WEATHER &amp; CLIMATE,Modified Mastering Geography with Pearson eText -- Standalone Access Card -- for Geosystems: An Introduction to Physical Geography,9780134642536,Pearson,Required,"Digital $126.75,",126.75,85.0,10773.75
SCOM,2050,89350,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,107.0,10700.0
PHYS,1112K,83263,INTRODUCTORY PHYSICS II,Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for College Physics: A Strategic Approach,9780134724744,Pearson,Required,"Digital $200.00,",200.0,53.0,10600.0
PHYS,1112K,84874,INTRODUCTORY PHYSICS II,Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for College Physics: A Strategic Approach,9780134724744,Pearson,Required,"Digital $200.00,",200.0,53.0,10600.0
BIOL,3900,80056,GENETICS,Genetics: Conceptual Approach (Achieve 1-Term Access Card),9781319401351,MPS (Macmillan Publishers),Required,"New $151.25,",151.25,70.0,10587.5
PHYS,1111K,82324,INTRODUCTORY PHYSICS I,Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for College Physics: A Strategic Approach,9780134724744,Pearson,Required,"Digital $200.00,",200.0,52.0,10400.0
POLS,2401,82322,GLOBAL ISSUES,"Bundle: Global Issues, Brown + TH Classroom Digital",9781778772887,Top Hat Monocle,Required,"Digital $86.25,",86.25,120.0,10350.0
ECON,3900,80953,MACROECONOMICS-CTW,Macroeconomics -- MyLab Economics with Pearson eText Access Code,9780138081553,Pearson,Required,"Digital $160.00,",160.0,64.0,10240.0
PHYS,1111K,81149,INTRODUCTORY PHYSICS I,Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for College Physics: A Strategic Approach,9780134724744,Pearson,Required,"Digital $200.00,",200.0,51.0,10200.0
GEOG,1113,87169,INTRODUCTION TO LANDFORMS,Modified Mastering Geography with Pearson eText -- Standalone Access Card -- for Geosystems: An Introduction to Physical Geography,9780134642536,Pearson,Required,"Digital $126.75,",126.75,79.0,10013.25
PHYS,1111K,84529,INTRODUCTORY PHYSICS I,Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for College Physics: A Strategic Approach,9780134724744,Pearson,Required,"Digital $200.00,",200.0,50.0,10000.0
POLS,2401,86683,GLOBAL ISSUES,"Bundle: Global Issues, Brown + TH Classroom Digital",9781778772887,Top Hat Monocle,Required,"Digital $86.25,",86.25,114.0,9832.5
BUSA,4000,87904,GLOBAL BUS,International Business: The New Realities (CUSTOM),9781323504147,Pearson Learning Solutions,Required,"New $216.75,",216.75,45.0,9753.75
LAW,6010,80566,EVIDENCE,"Learning Evidence: From Federal Rules to Court, Casebook (w/Access Code)",9781684675784,West Academic,Required,"Used $121.80, Used $217.50, New $290.00,",121.8,80.0,9744.0
GEOL,1121,87204,INTRODUCTORY GEOLOGY I,Essen of Geology (w/St Registration Code),9780393919394,"W. W. Norton & Company, Incorporated",Recommended,"New $145.00,",145.0,67.0,9715.0
POLS,3145,87944,INTRO TO AMERICAN LAW,Intro to Law & the Legal System,9780357660164,Cengage Learning,Required,"Used $205.75, New $274.25,",205.75,47.0,9670.25
LAW,6000,89254,CONSTITUTIONAL LAW I,Constitutional Law (Casebook),9781636593647,West Academic,Required,"Used $118.40, Used $222.00, New $296.00,",118.4,81.0,9590.4
FLME,2700,86362,HISTORY OF MOTION PICTURES,LSC (GEORGIA STATE UNIVERSITY) FLME 2700: FOLLETT DPF CUSTOM SITE CCS ECOMM Connect for Film History: An Introduction 180 DAYS ACCESS ENTRP,9781265544386,McGraw-Hill Higher Education,Required,"Digital $106.25,",106.25,90.0,9562.5
BIOL,2260,82623,FOUNDATIONS OF MICROBIOLOGY,"LSC (GEORGIA STATE UNIVERSITY) BIOL 2300/2310: REDSHELF Connect for Nester's Microbiology: A Human Perspective, 180 Day Access ENTRP",9781264547937,McGraw-Hill Higher Education,Required,"Digital $126.75,",126.75,75.0,9506.25
MUA,1500,86380,"JAZZ:ORIGINS,STYLES,INFLU",Jazz History Overview Ebook,9781792436598,Kendall Hunt Publishing Company,Required,"New $106.25,",106.25,89.0,9456.25
FLME,2700,90952,HISTORY OF MOTION PICTURES,LSC (GEORGIA STATE UNIVERSITY) FLME 2700: FOLLETT DPF CUSTOM SITE CCS ECOMM Connect for Film History: An Introduction 180 DAYS ACCESS ENTRP,9781265544386,McGraw-Hill Higher Education,Required,"Digital $106.25,",106.25,89.0,9456.25
ECON,3900,80412,MACROECONOMICS-CTW,Macroeconomics -- MyLab Economics with Pearson eText Access Code,9780138081553,Pearson,Required,"Digital $160.00,",160.0,59.0,9440.0
POLS,1101,86674,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,125.0,9375.0
LAW,6010,80567,EVIDENCE,Evidence: Teaching Materials for an Age of Science & Statutes (with Federal Rules of Evidence Appendix),9781531025847,Carolina Academic Press,Required,"New $240.00,",240.0,39.0,9360.0
MUA,1500,88051,"JAZZ:ORIGINS,STYLES,INFLU",Jazz History Overview Ebook,9781792436598,Kendall Hunt Publishing Company,Required,"New $106.25,",106.25,88.0,9350.0
FLME,2700,83401,HISTORY OF MOTION PICTURES,LSC (GEORGIA STATE UNIVERSITY) FLME 2700: FOLLETT DPF CUSTOM SITE CCS ECOMM Connect for Film History: An Introduction 180 DAYS ACCESS ENTRP,9781265544386,McGraw-Hill Higher Education,Required,"Digital $106.25,",106.25,88.0,9350.0
LAW,5010,90573,CONTRACT LAW,Contracts: Cases & Materials,9781685612375,West Academic,Required,"Used $222.00, New $296.00,",222.0,42.0,9324.0
CNHP,2010,82449,MED TERMINOLOGY FOR HEALTHCARE,CNPH 2010 Medical Terminology for Healthcare,,Caduceus International Publishing INC.,Required,"New $116.50,",116.5,80.0,9320.0
CNHP,2010,82448,MED TERMINOLOGY FOR HEALTHCARE,CNPH 2010 Medical Terminology for Healthcare,,Caduceus International Publishing INC.,Required,"New $116.50,",116.5,80.0,9320.0
MUA,1500,86381,"JAZZ:ORIGINS,STYLES,INFLU",Jazz History Overview Ebook,9781792436598,Kendall Hunt Publishing Company,Required,"New $106.25,",106.25,87.0,9243.75
LAW,7445,85483,REMEDIES,Remedies: Public & Private (Casebook),9781647085223,West Academic,Required,"New $263.00,",263.0,35.0,9205.0
CRJU,3410,81512,CRIMINOLOGICAL THEORY,Handbook of Criminological Theory,9781118512388,"John Wiley & Sons, Incorporated",Required,"New $212.95, Digital $170.00,",170.0,54.0,9180.0
FLME,2700,86363,HISTORY OF MOTION PICTURES,LSC (GEORGIA STATE UNIVERSITY) FLME 2700: FOLLETT DPF CUSTOM SITE CCS ECOMM Connect for Film History: An Introduction 180 DAYS ACCESS ENTRP,9781265544386,McGraw-Hill Higher Education,Required,"Digital $106.25,",106.25,86.0,9137.5
MATH,1111,92840,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,76.0,9120.0
NUTR,4960,83297,NUTRI &amp; PHYSICAL FITNESS,MindTap for Dunford/Doyle's Nutrition for Sport & Exercise,9780357448182,Cengage Learning Custom Publishing,Required,"Digital $130.00,",130.0,70.0,9100.0
FLME,2700,86365,HISTORY OF MOTION PICTURES,LSC (GEORGIA STATE UNIVERSITY) FLME 2700: FOLLETT DPF CUSTOM SITE CCS ECOMM Connect for Film History: An Introduction 180 DAYS ACCESS ENTRP,9781265544386,McGraw-Hill Higher Education,Required,"Digital $106.25,",106.25,85.0,9031.25
FI,3300,87758,CORPORATION FINANCE,Lectures in Corporate Finance (w/Webcom Access),9781465201478,Kendall Hunt Publishing Company,Required,"New $152.81,",152.81,59.0,9015.79
POLS,1101,86764,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,120.0,9000.0
GEOG,1112,87159,INTRO TO WEATHER &amp; CLIMATE,Modified Mastering Geography with Pearson eText -- Standalone Access Card -- for Geosystems: An Introduction to Physical Geography,9780134642536,Pearson,Required,"Digital $126.75,",126.75,71.0,8999.25
GEOG,1113,87170,INTRODUCTION TO LANDFORMS,Modified Mastering Geography with Pearson eText -- Standalone Access Card -- for Geosystems: An Introduction to Physical Geography,9780134642536,Pearson,Required,"Digital $126.75,",126.75,71.0,8999.25
PSYC,4120,80342,LEARNING,"MindTap Psychology, 1 term (6 months) Instant Access for Domjan's The Principles of Learning and Behavior",9781337275217,Cengage Learning,Required,"Digital $168.00,",168.0,53.0,8904.0
SCOM,2050,85614,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,89.0,8900.0
CHEM,2400,81247,ORGANIC CHEMISTRY I,Organic Chemistry 10e,9781711471853,Kendall Hunt Publishing Company,Required,"New $42.25, New $65.00,",42.25,209.0,8830.25
ACCT,2101,80951,PRIN OF ACCT I,Top Hat Classroom-One Semester,9780986615108,Top Hat Monocle,Required,"Digital $35.25,",35.25,248.0,8742.0
PSYC,1100,80790,INTRO TO BIOPSYC,Mind's Machine (w/bind in access code),9781605359731,Oxford University Press C/O INGRAM DISTRIBUTION SOLUTIONS,Recommended,"Used $76.86, Used $137.25, New $182.99,",76.86,112.0,8608.32
MATH,3020,88160,PROBABILITY &amp; STATS FOR CSC,Probability & Statistics for Computer Scientists Third Edition,9781138044487,Chapman & Hall CRC,Required,"New $105.00, New $140.00,",105.0,80.0,8400.0
MUA,1500,89849,"JAZZ:ORIGINS,STYLES,INFLU",Jazz History Overview Ebook,9781792436598,Kendall Hunt Publishing Company,Required,"New $106.25,",106.25,79.0,8393.75
RT,3005,80363,CLIN CARDIO PHYSIOLOGY,"MindTap for Des Jardins' Cardiopulmonary Anatomy & Physiology, 2 terms Instant Access",9781337794930,Cengage Learning,Required,"Digital $152.00,",152.0,55.0,8360.0
ECON,2100,81374,GLOBAL ECONOMICS,Intro to the Global Economy (Access code Pak),9781792462061,Kendall Hunt Publishing Company,Required,"New $123.00,",123.0,67.0,8241.0
PSYC,4100,82978,COGNITIVE PSYCHOLOGY,"MindTap Psychology, 1 term (6 months) Instant Access for Goldstein's Cognitive Psychology: Connecting Mind, Research, and Everyday Experience",9781337408288,Cengage Learning,Required,"Digital $168.00,",168.0,49.0,8232.0
GRMN,1001,81346,ELEMENTARY GERMAN I,Connect Online Access for Kontakte,9781260393675,McGraw-Hill,Required,"Digital $216.50,",216.5,38.0,8227.0
BIOL,2107,88926,PRINCIPLES OF BIOLOGY I,"Modified Mastering Biology with eText Electronic Access Code for Campbell Biology in Focus, 3e, 6-Month TBA, for GEORGIA STATE UNIVERSITY",9780138263270,Pearson,Required,"Digital $85.50,",85.5,96.0,8208.0
MATH,3020,87141,PROBABILITY &amp; STATS FOR CSC,Probability & Statistics for Computer Scientists Third Edition,9781138044487,Chapman & Hall CRC,Required,"New $105.00, New $140.00,",105.0,78.0,8190.0
MATH,3020,89551,PROBABILITY &amp; STATS FOR CSC,Probability & Statistics for Computer Scientists Third Edition,9781138044487,Chapman & Hall CRC,Required,"New $105.00, Digital $102.66, New $140.00,",102.66,79.0,8110.139999999999
SCOM,2050,86706,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,81.0,8100.0
SCOM,2050,85612,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,81.0,8100.0
MATH,3020,87847,PROBABILITY &amp; STATS FOR CSC,Probability & Statistics for Computer Scientists Third Edition,9781138044487,Chapman & Hall CRC,Required,"New $105.00, New $140.00,",105.0,77.0,8085.0
PSYC,3450,84395,HEALTH PSYCHOLOGY,Achieve for Health Psychology (1-Term Access),9781319466053,"Worth Publishers, Incorporated",Required,"New $110.75,",110.75,73.0,8084.75
PSYC,3450,81039,HEALTH PSYCHOLOGY,Achieve for Health Psychology (1-Term Access),9781319466053,"Worth Publishers, Incorporated",Required,"New $110.75,",110.75,73.0,8084.75
MATH,2641,89550,LINEAR ALGEBRA I,MyLab Math with Pearson eText -- Access Card -- for Linear Algebra and its Applications (18-Weeks),9780135851159,Pearson,Required,"Digital $120.00,",120.0,67.0,8040.0
BIOL,2107,86239,PRINCIPLES OF BIOLOGY I,"Modified Mastering Biology with eText Electronic Access Code for Campbell Biology in Focus, 3e, 6-Month TBA, for GEORGIA STATE UNIVERSITY",9780138263270,Pearson,Required,"Digital $85.50,",85.5,94.0,8037.0
SCOM,2050,88015,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,80.0,8000.0
SCOM,2050,86765,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,80.0,8000.0
SCOM,2050,84753,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,80.0,8000.0
MK,4100,82194,BUYER BEHAVIOR,Consumer Psychology Consumer Behavior,9781735983905,Open Mentis Publishers,Required,"New $199.95,",199.95,40.0,7998.0
MGT,3400,80528,MANAGING PEOPLE IN ORGS,GEORGIA STATE UNIVERSITY MGT 3400,9781265490317,McGraw-Hill Higher Education,Required,"Digital $53.50,",53.5,149.0,7971.5
FLME,2700,90350,HISTORY OF MOTION PICTURES,LSC (GEORGIA STATE UNIVERSITY) FLME 2700: FOLLETT DPF CUSTOM SITE CCS ECOMM Connect for Film History: An Introduction 180 DAYS ACCESS ENTRP,9781265544386,McGraw-Hill Higher Education,Required,"Digital $106.25,",106.25,75.0,7968.75
MK,4100,87609,BUYER BEHAVIOR,Connect Online Access for Consumer Behavior,9781266826788,McGraw-Hill,Required,"Digital $180.25,",180.25,44.0,7931.0
SCOM,2050,89899,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,79.0,7900.0
ACCT,4101,92626,ESSENTIALS OF FIN REP I,ND GEORGIA STATE UNIVERSITY CONNECT ONLINE ACCESS FOR INTERMEDIATE ACCOUNTING,9781265388911,McGraw-Hill,Required,"Digital $157.50,",157.5,50.0,7875.0
PSYC,4160,88119,THEORIES OF PERSONALITY,"MindTap Psychology, 1 term (6 months) Instant Access for Schultz/Schultz's Theories of Personality",9781305960121,Cengage Learning,Required,"Digital $145.50,",145.5,54.0,7857.0
SCOM,2050,85609,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,78.0,7800.0
PSYC,3510,87873,INTRO RESEARCH DESIGN &amp; ANALYS,"Research Methods in Psychology: Evaluating a World of Information with Ebook, InQuizitive, Interactives, and SPSS Guide",9780393893700,"W. W. Norton & Company, Incorporated Courseware",Required,"Digital $86.50,",86.5,90.0,7785.0
POLS,2401,84783,GLOBAL ISSUES,"Bundle: Global Issues, Brown + TH Classroom Digital",9781778772887,Top Hat Monocle,Required,"Digital $86.25,",86.25,90.0,7762.5
POLS,2401,86682,GLOBAL ISSUES,"Bundle: Global Issues, Brown + TH Classroom Digital",9781778772887,Top Hat Monocle,Required,"Digital $86.25,",86.25,90.0,7762.5
HIST,2110,88792,SURVEY OF U.S. HISTORY,"Liberty, Equality, Power: History of American People, Enh",9781337699747,Cengage Learning,Required,"Used $164.75,",164.75,47.0,7743.25
HIST,1111,88787,SURVEY OF WORLD HIST TO 1500,Creating History: The World Before 1500 (Access),9781524983994,Kendall Hunt Publishing Company,Required,"New $102.75,",102.75,75.0,7706.25
SCOM,2050,85610,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,77.0,7700.0
BIOL,2108,89209,PRINCIPLES OF BIOLOGY II,"Modified Mastering Biology with eText Electronic Access Code for Campbell Biology in Focus, 3e, 6-Month TBA, for GEORGIA STATE UNIVERSITY",9780138263270,Pearson,Required,"Digital $85.50,",85.5,90.0,7695.0
ACCT,4210,92628,COST/MANAGERIAL AC,MyLab Accounting with Pearson eText -- Access Card -- for Horngren's Cost Accounting,9780135628522,Pearson,Required,"Digital $160.00,",160.0,48.0,7680.0
