SUBJECT,COURSE,SECTION,courseTitle,BOOKTITLE,ISBN,PUBLISHER,REQUIRED,PRICES,MinPrice,enrollment,MinVal
ACCT,2101,10903,PRIN OF ACCT I,Top Hat Classroom-One Semester,9780986615108,Top Hat Monocle,Required,"Digital $35.25,",35.25,287,10116.75
ECON,2100,17175,GLOBAL ECONOMICS,Intro to the Global Economy (Access code Pak),9781792462061,Kendall Hunt Publishing Company,Required,"New $123.00,",123.0,82,10086.0
ACCT,4101,15715,ESSENTIALS OF FIN REP I,Connect Online Access for Intermediate Accounting,9781264387144,McGraw-Hill,Required,"Digital $212.75,",212.75,46,9786.5
PSYC,3450,18908,HEALTH PSYCHOLOGY,Connect Online Access for Health Psychology,9781260834253,McGraw-Hill,Required,"Digital $130.00,",130.0,75,9750.0
MATH,1111,21466,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,80,9600.0
MATH,0999,12857,SUPPORT FOR COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,80,9600.0
MATH,1111,10248,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,80,9600.0
MATH,1111,10249,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,80,9600.0
MATH,1111,15142,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,80,9600.0
MATH,1111,14522,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,80,9600.0
MATH,0999,12858,SUPPORT FOR COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,80,9600.0
FLME,2700,15223,HISTORY OF MOTION PICTURES,LSC (GEORGIA STATE UNIVERSITY) FLME 2700: FOLLETT DPF CUSTOM SITE CCS ECOMM Connect for Film History: An Introduction 180 DAYS ACCESS ENTRP,9781265544386,McGraw-Hill Higher Education,Required,"Digital $106.25,",106.25,90,9562.5
FLME,2700,16687,HISTORY OF MOTION PICTURES,LSC (GEORGIA STATE UNIVERSITY) FLME 2700: FOLLETT DPF CUSTOM SITE CCS ECOMM Connect for Film History: An Introduction 180 DAYS ACCESS ENTRP,9781265544386,McGraw-Hill Higher Education,Required,"Digital $106.25,",106.25,90,9562.5
MATH,0999,21567,SUPPORT FOR COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,79,9480.0
MATH,0999,21568,SUPPORT FOR COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,79,9480.0
MATH,1111,12323,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,79,9480.0
MATH,1111,12357,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,79,9480.0
FLME,2700,15105,HISTORY OF MOTION PICTURES,LSC (GEORGIA STATE UNIVERSITY) FLME 2700: FOLLETT DPF CUSTOM SITE CCS ECOMM Connect for Film History: An Introduction 180 DAYS ACCESS ENTRP,9781265544386,McGraw-Hill Higher Education,Required,"Digital $106.25,",106.25,89,9456.25
MATH,1111,10246,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,78,9360.0
MATH,1111,10250,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,78,9360.0
MATH,1111,16639,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,78,9360.0
BIOL,1103,20694,INTRO BIOLOGY I,"Modified Mastering Biology with eText Electronic Access Code for Biology: Science for Life with Physiology, 6e, for GEORGIA STATE UNIVERSITY",9780138304577,Pearson,Required,"Digital $66.75,",66.75,140,9345.0
ECON,3910,19495,MICROECONOMICS,Achieve for Microeconomics (1-Term Access),9781319450106,MPS (Macmillan Publishers),Required,"New $145.75,",145.75,64,9328.0
BIOL,1103,20692,INTRO BIOLOGY I,"Modified Mastering Biology with eText Electronic Access Code for Biology: Science for Life with Physiology, 6e, for GEORGIA STATE UNIVERSITY",9780138304577,Pearson,Required,"Digital $66.75,",66.75,139,9278.25
BIOL,2107,15996,PRINCIPLES OF BIOLOGY I,"Modified Mastering Biology with eText Electronic Access Code for Campbell Biology in Focus, 3e, 6-Month TBA, for GEORGIA STATE UNIVERSITY",9780138263270,Pearson,Required,"Digital $85.50,",85.5,108,9234.0
PHYS,1112K,14339,INTRODUCTORY PHYSICS II,Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for College Physics: A Strategic Approach,9780134724744,Pearson,Required,"Digital $200.00,",200.0,46,9200.0
ECON,3900,18291,MACROECONOMICS-CTW,Macroeconomics -- MyLab Economics with Pearson eText Access Code,9780138081553,Pearson,Required,"Digital $160.00,",160.0,57,9120.0
POLS,1101,18230,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,119,8925.0
PHIL,2010,15604,INTRO TO PHILOSOPHY,Musings on Big Questions,9781684780259,Great River Learning,Required,"New $75.00,",75.0,119,8925.0
MATH,1111,21463,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,74,8880.0
PSYC,4120,17196,LEARNING,"MindTap Psychology, 1 term (6 months) Instant Access for Domjan's The Principles of Learning and Behavior",9781337275217,Cengage Learning,Required,"Digital $168.00,",168.0,52,8736.0
HADM,3750,19949,HOSPITALITY HUMAN RES MGT,Managing Hospitality Human Resources,9780866126243,American Hotel & Lodging Educational Institute (EMAIL ORDERS),Required,"New $159.50,",159.5,54,8613.0
FLME,2700,15107,HISTORY OF MOTION PICTURES,LSC (GEORGIA STATE UNIVERSITY) FLME 2700: FOLLETT DPF CUSTOM SITE CCS ECOMM Connect for Film History: An Introduction 180 DAYS ACCESS ENTRP,9781265544386,McGraw-Hill Higher Education,Required,"Digital $106.25,",106.25,80,8500.0
BIOL,2108,15589,PRINCIPLES OF BIOLOGY II,"Modified Mastering Biology with eText Electronic Access Code for Campbell Biology in Focus, 3e, 6-Month TBA, for GEORGIA STATE UNIVERSITY",9780138263270,Pearson,Required,"Digital $85.50,",85.5,99,8464.5
ECON,4800,14091,INTERNATIONAL TRADE,International Trade,9781319218454,"Worth Publishers, Incorporated",Required,"Used $251.25, New $334.75,",251.25,33,8291.25
BIOL,2107,17436,PRINCIPLES OF BIOLOGY I,"Modified Mastering Biology with eText Electronic Access Code for Campbell Biology in Focus, 3e, 6-Month TBA, for GEORGIA STATE UNIVERSITY",9780138263270,Pearson,Required,"Digital $85.50,",85.5,96,8208.0
PSYC,3450,15324,HEALTH PSYCHOLOGY,"Health Psychology, Achieve (eISBN)",9781319466053,"Worth Publishers, Incorporated",Required,"New $110.75,",110.75,74,8195.5
BIOL,1104,20720,INTRO BIOLOGY II,Modified Mastering Biology with eText Student Access Code for Biology: Science for Life for GEORGIA STATE UNIVERSITY,9780135436240,Pearson,Required,"Digital $66.75,",66.75,120,8010.0
BIOL,1104,20721,INTRO BIOLOGY II,Modified Mastering Biology with eText Student Access Code for Biology: Science for Life for GEORGIA STATE UNIVERSITY,9780135436240,Pearson,Required,"Digital $66.75,",66.75,120,8010.0
SCOM,2050,13164,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,80,8000.0
SCOM,2050,15525,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,80,8000.0
SCOM,2050,13169,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,80,8000.0
SCOM,2050,13910,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,80,8000.0
SCOM,2050,14401,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,80,8000.0
ACCT,2101,11315,PRIN OF ACCT I,Top Hat Classroom-One Semester,9780986615108,Top Hat Monocle,Required,"Digital $35.25,",35.25,224,7896.0
BIOL,2108,15590,PRINCIPLES OF BIOLOGY II,"Modified Mastering Biology with eText Electronic Access Code for Campbell Biology in Focus, 3e, 6-Month TBA, for GEORGIA STATE UNIVERSITY",9780138263270,Pearson,Required,"Digital $85.50,",85.5,92,7866.0
POLS,2401,14503,GLOBAL ISSUES,"Bundle: Global Issues, Brown + TH Classroom Digital",9781778772887,Top Hat Monocle,Required,"Digital $86.25,",86.25,90,7762.5
POLS,2401,12739,GLOBAL ISSUES,"Bundle: Global Issues, Brown + TH Classroom Digital",9781778772887,Top Hat Monocle,Required,"Digital $86.25,",86.25,90,7762.5
POLS,2401,10906,GLOBAL ISSUES,"Bundle: Global Issues, Brown + TH Classroom Digital",9781778772887,Top Hat Monocle,Required,"Digital $86.25,",86.25,90,7762.5
POLS,2401,10353,GLOBAL ISSUES,"Bundle: Global Issues, Brown + TH Classroom Digital",9781778772887,Top Hat Monocle,Required,"Digital $86.25,",86.25,90,7762.5
POLS,2401,10352,GLOBAL ISSUES,"Bundle: Global Issues, Brown + TH Classroom Digital",9781778772887,Top Hat Monocle,Required,"Digital $86.25,",86.25,90,7762.5
MUA,1500,15887,"JAZZ:ORIGINS,STYLES,INFLU",Jazz History Overview,9780757538643,Kendall Hunt Publishing Company,Required,"Used $63.90, Used $120.00, New $159.76,",63.9,120,7668.0
PSYC,3450,19939,HEALTH PSYCHOLOGY,Achieve for Health Psychology (1-Term Online),9781319466022,MPS (Macmillan Publishers),Required,"Digital $101.50,",101.5,75,7612.5
MATH,1113,18347,PRECALCULUS,MyLab Math with Pearson eText -- Access Card -- for College Algebra and Trigonometry (18-Weeks),9780135923221,Pearson,Required,"Digital $120.00,",120.0,63,7560.0
POLS,1101,17387,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,100,7500.0
POLS,1101,17386,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,100,7500.0
POLS,1101,16503,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,100,7500.0
ECON,2100,18695,GLOBAL ECONOMICS,Intro to the Global Economy (Access code Pak),9781792462061,Kendall Hunt Publishing Company,Required,"New $123.00,",123.0,60,7380.0
SCOM,2050,13168,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,73,7300.0
PSYC,4130,15402,SENSATION AND PERCEPTION,"MindTap for Goldstein/Cacciamani's Sensation and Perception, 1 term Instant Access",9780357446539,Cengage Learning,Required,"Digital $145.50,",145.5,50,7275.0
NUTR,2100,16826,PRINCIPLES OF NUTRITION,Understanding Nutrition,9780357447512,Cengage Learning,Recommended,"Used $115.19, Digital $50.99, Digital $69.99, Used $205.75, New $274.25, Digital $88.99,",50.99,142,7240.58
FLME,2700,15494,HISTORY OF MOTION PICTURES,LSC (GEORGIA STATE UNIVERSITY) FLME 2700: FOLLETT DPF CUSTOM SITE CCS ECOMM Connect for Film History: An Introduction 180 DAYS ACCESS ENTRP,9781265544386,McGraw-Hill Higher Education,Required,"Digital $106.25,",106.25,67,7118.75
LAW,5080,17394,LEGISLATION AND REGULATION,"Legislation & Regulation, Cases & Materials",9781647085438,West Academic,Required,"Used $202.50, New $270.00,",202.5,35,7087.5
BIOL,2107,18060,PRINCIPLES OF BIOLOGY I,"Modified Mastering Biology with eText Electronic Access Code for Campbell Biology in Focus, 3e, 6-Month TBA, for GEORGIA STATE UNIVERSITY",9780138263270,Pearson,Required,"Digital $85.50,",85.5,82,7011.0
SCOM,2050,13166,"MEDIA, CULTURE, AND SOCIETY",GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,9781266454493,McGraw-Hill Higher Education,Required,"Digital $100.00,",100.0,70,7000.0
NURS,7340,12767,COMMON ADULT HLTH PROBS,Primary Care,9781719644655,F.A. DAVIS,Required,"New $148.76, New $185.95, Digital $173.75,",148.76,47,6991.719999999999
LAW,6010,20760,EVIDENCE,"Learning Evidence: From Federal Rules to Court, Casebook (w/Access Code)",9781684675784,West Academic,Required,"New $290.00,",290.0,24,6960.0
ECON,2106,11244,PRINCIPLES OF MICROECONOMICS,Georgia State University ECON 2105 Principles of Economics,9781265679767,McGraw-Hill Higher Education,Required Choose Only 0 of 2,"Digital $53.50,",53.5,130,6955.0
ECON,2105,16424,PRINCIPLES OF MACROECONOMICS,Georgia State University ECON 2105 Principles of Economics,9781265679767,McGraw-Hill Higher Education,Required Choose Only 0 of 2,"Digital $53.50,",53.5,130,6955.0
ECON,2105,12699,PRINCIPLES OF MACROECONOMICS,Georgia State University ECON 2105 Principles of Economics,9781265679767,McGraw-Hill Higher Education,Required Choose Only 0 of 2,"Digital $53.50,",53.5,130,6955.0
ECON,2105,18284,PRINCIPLES OF MACROECONOMICS,Georgia State University ECON 2105 Principles of Economics,9781265679767,McGraw-Hill Higher Education,Required Choose Only 0 of 2,"Digital $53.50,",53.5,130,6955.0
ACCT,4101,15716,ESSENTIALS OF FIN REP I,Connect Online Access for Intermediate Accounting,9781264387144,McGraw-Hill,Required,"Digital $212.75,",212.75,32,6808.0
PSYC,3140,12255,PSYCHOPATHOLOGY &amp; ABNORML PSYC,"Georgia State University, Achieve for Fundamentals of Abnormal Psychology 10e (1-Term Online)",9781319523657,MPS (Macmillan Publishers),Required,"Digital $71.25,",71.25,95,6768.75
PSYC,3140,10713,PSYCHOPATHOLOGY &amp; ABNORML PSYC,"Georgia State University, Achieve for Fundamentals of Abnormal Psychology 10e (1-Term Online)",9781319523657,MPS (Macmillan Publishers),Required,"Digital $71.25,",71.25,95,6768.75
POLS,1101,10351,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,90,6750.0
ECON,2106,15391,PRINCIPLES OF MICROECONOMICS,Georgia State University ECON 2105 Principles of Economics,9781265679767,McGraw-Hill Higher Education,Required Choose Only 0 of 2,"Digital $53.50,",53.5,124,6634.0
ECON,2105,10522,PRINCIPLES OF MACROECONOMICS,Georgia State University ECON 2105 Principles of Economics,9781265679767,McGraw-Hill Higher Education,Required Choose Only 0 of 2,"Digital $53.50,",53.5,124,6634.0
PSYC,3140,17785,PSYCHOPATHOLOGY &amp; ABNORML PSYC,"Georgia State University, Achieve for Fundamentals of Abnormal Psychology 10e (1-Term Online)",9781319523657,MPS (Macmillan Publishers),Required,"Digital $71.25,",71.25,93,6626.25
FI,3300,16558,CORPORATION FINANCE,Lectures in Corporate Finance (w/Webcom Access),9781465201478,Kendall Hunt Publishing Company,Required,"New $152.81,",152.81,43,6570.83
FI,3300,12205,CORPORATION FINANCE,CSePUB Finance (w/Access Cards),9780996235303,Conley Smith Publishing,Required,"New $145.75,",145.75,45,6558.75
